timestamp,architecture,layer,step,method,url,status,latency_ms,error
2025-12-06T00:20:01.914252,ms_python_mysql,api_auth,login,POST,https://auth-microservices.iqbalfadhil.biz.id/api/auth/login,,60900.66,
2025-12-06T00:18:02.632710,ms_python_mysql,frontend,open_frontend_login,GET,https://microservices.iqbalfadhil.biz.id/login,200,223.68,
2025-12-06T00:20:01.914319,ms_python_mysql,api_auth,login,POST,https://auth-microservices.iqbalfadhil.biz.id/api/auth/login,,60898.05,
2025-12-06T00:18:02.585535,ms_python_mysql,frontend,open_frontend_login,GET,https://microservices.iqbalfadhil.biz.id/login,200,175.24,
2025-12-06T00:20:01.914384,ms_python_mysql,api_auth,login,POST,https://auth-microservices.iqbalfadhil.biz.id/api/auth/login,,60900.84,
2025-12-06T00:18:02.688154,ms_python_mysql,frontend,open_frontend_login,GET,https://microservices.iqbalfadhil.biz.id/login,200,277.99,
2025-12-06T00:20:01.914534,ms_python_mysql,api_auth,login,POST,https://auth-microservices.iqbalfadhil.biz.id/api/auth/login,,60901.84,
2025-12-06T00:18:02.686791,ms_python_mysql,frontend,open_frontend_login,GET,https://microservices.iqbalfadhil.biz.id/login,200,277.6,
2025-12-06T00:20:01.914602,ms_python_mysql,api_auth,login,POST,https://auth-microservices.iqbalfadhil.biz.id/api/auth/login,,60898.38,
2025-12-06T00:18:02.601641,ms_python_mysql,frontend,open_frontend_login,GET,https://microservices.iqbalfadhil.biz.id/login,200,191.71,
2025-12-06T00:20:01.914703,ms_python_mysql,api_auth,login,POST,https://auth-microservices.iqbalfadhil.biz.id/api/auth/login,,60901.81,
2025-12-06T00:18:02.679521,ms_python_mysql,frontend,open_frontend_login,GET,https://microservices.iqbalfadhil.biz.id/login,200,270.01,
2025-12-06T00:20:01.914767,ms_python_mysql,api_auth,login,POST,https://auth-microservices.iqbalfadhil.biz.id/api/auth/login,,60898.81,
2025-12-06T00:18:02.615776,ms_python_mysql,frontend,open_frontend_login,GET,https://microservices.iqbalfadhil.biz.id/login,200,206.02,
2025-12-06T00:20:01.914843,ms_python_mysql,api_auth,login,POST,https://auth-microservices.iqbalfadhil.biz.id/api/auth/login,,60898.67,
2025-12-06T00:18:02.700492,ms_python_mysql,frontend,open_frontend_login,GET,https://microservices.iqbalfadhil.biz.id/login,200,290.13,
2025-12-06T00:20:01.914971,ms_python_mysql,api_auth,login,POST,https://auth-microservices.iqbalfadhil.biz.id/api/auth/login,,60901.9,
2025-12-06T00:18:02.638912,ms_python_mysql,frontend,open_frontend_login,GET,https://microservices.iqbalfadhil.biz.id/login,200,227.47,
